,InsiderID,NodeCount,EdgeCount,outlierscore,LOFScore
1,131075,2,1,0.027784397,-1
2,131072,2,1,0.027784397,-1
3,131073,2,1,0.027784397,-1
4,131081,3,3,0.106617911,-1
5,98314,3,3,0.106617911,-1
6,81934,3,3,0.106617911,-1
7,98320,6,15,0.3339168,-1
8,131091,3,3,0.106617911,-1
9,98323,8,28,0.210492607,-1
10,81941,2,1,0.027784397,-1
11,114711,2,1,0.027784397,-1
12,131096,3,3,0.106617911,-1
13,98335,6,15,0.3339168,-1
14,81952,7,20,0.012970104,-1
15,131104,2,1,0.027784397,-1
16,98345,2,1,0.027784397,-1
17,98344,5,10,0.305969234,-1
18,131119,2,1,0.027784397,-1
19,81966,3,3,0.106617911,-1
20,98352,2,1,0.027784397,-1
21,98356,3,3,0.106617911,-1
22,98358,2,1,0.027784397,-1
23,131131,2,1,0.027784397,-1
24,131134,2,1,0.027784397,-1
25,131139,8,28,0.210492607,-1
26,131136,2,1,0.027784397,-1
27,81993,3,3,0.106617911,-1
28,98376,4,6,0.228897041,-1
29,131144,2,1,0.027784397,-1
30,131145,2,1,0.027784397,-1
31,98381,2,1,0.027784397,-1
32,98380,9,36,0.043502616,-1
33,98387,11,55,0.608551102,-1
34,131159,5,10,0.305969234,-1
35,131163,2,1,0.027784397,-1
36,131160,2,1,0.027784397,-1
37,131161,2,1,0.027784397,-1
38,131166,2,1,0.027784397,-1
39,82015,2,1,0.027784397,-1
40,131165,2,1,0.027784397,-1
41,131171,2,1,0.027784397,-1
42,131168,2,1,0.027784397,-1
43,82018,8,27,0.146146488,-1
44,131172,3,3,0.106617911,-1
45,98408,2,1,0.027784397,-1
46,98411,2,1,0.027784397,-1
47,131177,3,3,0.106617911,-1
48,131180,3,3,0.106617911,-1
49,131181,2,1,0.027784397,-1
50,131187,2,1,0.027784397,-1
51,131189,2,1,0.027784397,-1
52,131194,2,1,0.027784397,-1
53,98434,2,1,0.027784397,-1
54,98436,8,28,0.210492607,-1
55,82056,5,10,0.305969234,-1
56,82058,14,91,1.195131005,-1
57,131214,4,6,0.228897041,-1
58,98445,11,55,0.608551102,-1
59,131213,4,6,0.228897041,-1
60,131218,2,1,0.027784397,-1
61,82064,4,3,0.954176493,-499754947.4
62,131219,2,1,0.027784397,-1
63,131216,2,1,0.027784397,-1
64,131217,2,1,0.027784397,-1
65,114834,2,1,0.027784397,-1
66,131222,2,1,0.027784397,-1
67,131223,2,1,0.027784397,-1
68,98457,3,3,0.106617911,-1
69,131226,2,1,0.027784397,-1
70,131227,2,1,0.027784397,-1
71,98458,2,1,0.027784397,-1
72,114844,8,28,0.210492607,-1
73,98467,2,1,0.027784397,-1
74,131243,5,10,0.305969234,-1
75,131246,2,1,0.027784397,-1
76,131244,2,1,0.027784397,-1
77,131248,2,1,0.027784397,-1
78,114869,3,3,0.106617911,-1
79,98488,7,20,0.012970104,-1
80,98493,2,1,0.027784397,-1
81,98494,2,1,0.027784397,-1
82,114881,9,36,0.043502616,-1
83,131265,2,1,0.027784397,-1
84,98498,2,1,0.027784397,-1
85,82131,4,6,0.228897041,-1
86,131281,2,1,0.027784397,-1
87,82132,2,1,0.027784397,-1
88,131285,9,36,0.043502616,-1
89,82137,7,21,0.308660199,-1
90,131288,2,1,0.027784397,-1
91,131289,2,1,0.027784397,-1
92,82144,2,1,0.027784397,-1
93,114917,2,1,0.027784397,-1
94,82149,2,1,0.027784397,-1
95,131300,3,3,0.106617911,-1
96,131306,3,3,0.106617911,-1
97,131307,3,3,0.106617911,-1
98,82155,2,1,0.027784397,-1
99,131305,2,1,0.027784397,-1
100,131309,3,3,0.106617911,-1
101,98544,2,1,0.027784397,-1
102,131315,2,1,0.027784397,-1
103,131312,3,3,0.106617911,-1
104,131319,4,6,0.228897041,-1
105,131323,3,3,0.106617911,-1
106,131320,3,3,0.106617911,-1
107,82170,4,5,0.155591768,-1
108,131321,4,6,0.228897041,-1
109,131325,3,3,0.106617911,-1
110,131330,2,1,0.027784397,-1
111,98561,2,1,0.027784397,-1
112,98560,7,21,0.308660199,-1
113,131331,16,120,1.511306442,-1
114,131335,2,1,0.027784397,-1
115,82183,3,3,0.106617911,-1
116,131336,2,1,0.027784397,-1
117,114955,3,3,0.106617911,-1
118,114957,4,6,0.228897041,-1
119,82188,10,45,0.356027644,-1
120,82190,10,45,0.356027644,-1
121,82192,3,3,0.106617911,-1
122,131350,4,6,0.228897041,-1
123,131351,4,6,0.228897041,-1
124,131348,2,1,0.027784397,-1
125,82198,2,1,0.027784397,-1
126,131354,4,6,0.228897041,-1
127,131355,4,6,0.228897041,-1
128,131352,4,6,0.228897041,-1
129,82203,3,3,0.106617911,-1
130,82205,2,1,0.027784397,-1
131,82204,2,1,0.027784397,-1
132,82207,10,45,0.356027644,-1
133,131357,2,1,0.027784397,-1
134,98595,4,6,0.228897041,-1
135,82210,10,45,0.356027644,-1
136,98601,5,10,0.305969234,-1
137,131379,2,1,0.027784397,-1
138,131382,2,1,0.027784397,-1
139,98614,4,6,0.228897041,-1
140,82235,9,36,0.043502616,-1
141,115005,2,1,0.027784397,-1
142,82237,5,10,0.305969234,-1
143,131395,2,1,0.027784397,-1
144,131393,11,55,0.608551102,-1
145,115010,2,1,0.027784397,-1
146,131398,11,55,0.608551102,-1
147,82244,2,1,0.027784397,-1
148,98631,2,1,0.027784397,-1
149,82253,4,6,0.228897041,-1
150,131405,2,1,0.027784397,-1
151,131408,5,7,0.639083189,-1
152,82259,6,15,0.3339168,-1
153,98647,4,6,0.228897041,-1
154,82263,3,3,0.106617911,-1
155,131413,2,1,0.027784397,-1
156,98648,3,3,0.106617911,-1
157,82264,3,3,0.106617911,-1
158,115034,4,6,0.228897041,-1
159,131423,2,1,0.027784397,-1
160,131421,3,3,0.106617911,-1
161,131424,2,1,0.027784397,-1
162,82280,2,1,0.027784397,-1
163,131432,5,10,0.305969234,-1
164,131433,11,55,0.608551102,-1
165,82282,2,1,0.027784397,-1
166,131439,6,9,1.201530658,-1.063269228
167,98671,10,45,0.356027644,-1
168,115055,2,1,0.027784397,-1
169,82286,2,1,0.027784397,-1
170,115056,13,78,1.018896653,-1
171,131440,2,1,0.027784397,-1
172,131444,11,55,0.608551102,-1
173,131450,3,3,0.106617911,-1
174,98683,5,8,0.366866186,-1
175,131448,2,1,0.027784397,-1
176,131454,2,1,0.027784397,-1
177,131455,5,10,0.305969234,-1
178,131452,2,1,0.027784397,-1
179,131453,5,10,0.305969234,-1
180,131456,4,6,0.228897041,-1
181,98691,2,1,0.027784397,-1
182,82309,2,1,0.027784397,-1
183,131467,3,3,0.106617911,-1
184,98699,13,78,1.018896653,-1
185,131464,2,1,0.027784397,-1
186,98698,16,120,1.511306442,-1
187,82321,6,15,0.3339168,-1
188,131472,2,1,0.027784397,-1
189,131479,7,20,0.012970104,-1
190,131477,4,6,0.228897041,-1
191,131482,11,55,0.608551102,-1
192,98713,5,10,0.305969234,-1
193,131483,11,55,0.608551102,-1
194,131480,5,10,0.305969234,-1
195,131486,7,19,0.324230506,-1
196,131487,7,19,0.324230506,-1
197,98719,2,1,0.027784397,-1
198,131484,7,19,0.324230506,-1
199,131491,11,55,0.608551102,-1
200,131494,7,20,0.012970104,-1
201,131495,7,20,0.012970104,-1
202,115113,3,3,0.106617911,-1
203,131496,2,1,0.027784397,-1
204,131497,2,1,0.027784397,-1
205,131500,2,1,0.027784397,-1
206,131501,5,10,0.305969234,-1
207,131510,7,19,0.324230506,-1
208,131509,2,1,0.027784397,-1
209,131513,2,1,0.027784397,-1
210,98754,2,1,0.027784397,-1
211,82370,3,3,0.106617911,-1
212,82373,2,1,0.027784397,-1
213,82377,3,3,0.106617911,-1
214,131531,3,3,0.106617911,-1
215,131534,3,3,0.106617911,-1
216,131535,5,10,0.305969234,-1
217,98767,4,5,0.155591768,-1
218,82382,4,6,0.228897041,-1
219,131538,5,10,0.305969234,-1
220,131539,5,10,0.305969234,-1
221,131537,5,10,0.305969234,-1
222,131542,5,10,0.305969234,-1
223,131543,5,10,0.305969234,-1
224,131540,5,10,0.305969234,-1
225,131541,2,1,0.027784397,-1
226,131546,5,10,0.305969234,-1
227,131544,5,10,0.305969234,-1
228,98780,3,3,0.106617911,-1
229,115164,9,36,0.043502616,-1
230,131554,2,1,0.027784397,-1
231,98784,4,6,0.228897041,-1
232,131559,4,6,0.228897041,-1
233,82406,3,2,0.333182143,-1
234,131562,2,1,0.027784397,-1
235,131563,2,1,0.027784397,-1
236,115179,5,7,0.639083189,-1
237,131567,2,1,0.027784397,-1
238,131570,6,15,0.3339168,-1
239,131571,3,3,0.106617911,-1
240,131568,4,6,0.228897041,-1
241,98802,4,6,0.228897041,-1
242,131569,4,6,0.228897041,-1
243,131574,3,3,0.106617911,-1
244,131575,6,15,0.3339168,-1
245,131573,6,15,0.3339168,-1
246,98809,3,3,0.106617911,-1
247,131576,6,15,0.3339168,-1
248,131583,9,36,0.043502616,-1
249,131586,9,36,0.043502616,-1
250,131587,9,36,0.043502616,-1
251,131585,4,6,0.228897041,-1
252,115205,5,10,0.305969234,-1
253,131590,9,36,0.043502616,-1
254,98823,2,1,0.027784397,-1
255,131589,9,36,0.043502616,-1
256,82443,2,1,0.027784397,-1
257,82447,3,3,0.106617911,-1
258,131600,2,1,0.027784397,-1
259,82450,2,1,0.027784397,-1
260,131606,2,1,0.027784397,-1
261,98839,8,28,0.210492607,-1
262,131609,4,6,0.228897041,-1
263,131614,3,3,0.106617911,-1
264,131620,3,3,0.106617911,-1
265,131626,2,1,0.027784397,-1
266,131624,3,3,0.106617911,-1
267,82476,2,1,0.027784397,-1
268,131628,2,1,0.027784397,-1
269,98866,2,1,0.027784397,-1
270,131639,2,1,0.027784397,-1
271,131642,10,45,0.356027644,-1
272,131643,10,45,0.356027644,-1
273,131640,10,45,0.356027644,-1
274,131641,10,45,0.356027644,-1
275,131646,10,45,0.356027644,-1
276,131647,10,45,0.356027644,-1
277,131644,10,45,0.356027644,-1
278,131645,11,55,0.608551102,-1
279,131648,10,45,0.356027644,-1
280,98882,16,120,1.511306442,-1
281,131654,5,10,0.305969234,-1
282,98886,15,105,1.358364791,-1
283,131653,5,10,0.305969234,-1
284,131659,5,10,0.305969234,-1
285,131656,5,10,0.305969234,-1
286,98891,5,9,0.042353307,-1
287,131662,4,6,0.228897041,-1
288,131663,7,12,1.595245106,-1.555513231
289,131666,5,10,0.305969234,-1
290,131667,5,10,0.305969234,-1
291,131664,5,10,0.305969234,-1
292,131665,3,3,0.106617911,-1
293,131671,2,1,0.027784397,-1
294,131674,7,21,0.308660199,-1
295,131675,7,21,0.308660199,-1
296,115291,16,120,1.511306442,-1
297,131673,7,21,0.308660199,-1
298,131679,2,1,0.027784397,-1
299,131676,7,21,0.308660199,-1
300,131677,7,21,0.308660199,-1
301,131682,5,10,0.305969234,-1
302,131684,3,3,0.106617911,-1
303,98918,2,1,0.027784397,-1
304,131685,5,10,0.305969234,-1
305,82536,2,1,0.027784397,-1
306,131691,6,11,0.757594242,-1.017412378
