InsiderID,NodeCount,EdgeCount,outlierscore,LOFScore,TotalOutlierScore
131072,2,1,0.054004865,-1.0,1.054004865
100354,9,36,0.798362646,-1.0,1.798362646
131073,2,1,0.054004865,-1.0,1.054004865
120840,5,9,0.149453179,-1.0,1.149453179
75787,10,43,0.600263146,-1.073300008E8,1.0733000140026315E8
83981,15,105,0.852239357,-0.966261794,1.818501151
120849,9,36,0.798362646,-1.0,1.798362646
120848,9,36,0.798362646,-1.0,1.798362646
110608,5,10,0.439456321,-1.0,1.439456321
120851,9,36,0.798362646,-1.0,1.798362646
120853,9,36,0.798362646,-1.0,1.798362646
120852,9,36,0.798362646,-1.0,1.798362646
118809,5,9,0.149453179,-1.0,1.149453179
122904,2,1,0.054004865,-1.0,1.054004865
139288,3,3,0.102138795,-1.0,1.1021387950000001
118812,4,6,0.282164708,-1.0,1.282164708
118815,5,9,0.149453179,-1.0,1.149453179
81950,4,4,0.457764732,-1.0,1.457764732
71713,8,20,0.911945696,-1.035374129,1.9473198250000001
120864,7,15,0.759988451,-1.648119623,2.408108074
124965,2,1,0.054004865,-1.0,1.054004865
124967,6,15,0.56610178,-1.0,1.5661017799999999
118826,5,9,0.149453179,-1.0,1.149453179
116785,2,1,0.054004865,-1.0,1.054004865
110643,7,19,0.260426949,-1.0,1.260426949
118837,8,28,0.741248349,-1.0,1.7412483490000001
118836,3,3,0.102138795,-1.0,1.1021387950000001
133172,6,15,0.56610178,-1.0,1.5661017799999999
120888,6,15,0.56610178,-1.0,1.5661017799999999
120892,6,15,0.56610178,-1.0,1.5661017799999999
118849,2,1,0.054004865,-1.0,1.054004865
135238,4,6,0.282164708,-1.0,1.282164708
118852,2,1,0.054004865,-1.0,1.054004865
127044,2,1,0.054004865,-1.0,1.054004865
88135,16,114,0.296982369,-1.0,1.296982369
120915,5,10,0.439456321,-1.0,1.439456321
73820,2,1,0.054004865,-1.0,1.054004865
135267,5,10,0.439456321,-1.0,1.439456321
125027,2,1,0.054004865,-1.0,1.054004865
120931,6,14,0.343308637,-1.0,1.343308637
120930,5,10,0.439456321,-1.0,1.439456321
77925,7,21,0.665156882,-1.0,1.665156882
98408,2,1,0.054004865,-1.0,1.054004865
118895,8,28,0.741248349,-1.0,1.7412483490000001
118894,8,28,0.741248349,-1.0,1.7412483490000001
120945,2,1,0.054004865,-1.0,1.054004865
118896,8,28,0.741248349,-1.0,1.7412483490000001
131185,2,1,0.054004865,-1.0,1.054004865
84085,2,1,0.054004865,-1.0,1.054004865
120951,2,1,0.054004865,-1.0,1.054004865
120950,2,1,0.054004865,-1.0,1.054004865
75898,9,36,0.798362646,-1.0,1.798362646
116858,11,49,0.280989227,-1.030507911,1.311497138
120961,8,28,0.741248349,-1.0,1.7412483490000001
100483,2,1,0.054004865,-1.0,1.054004865
100484,2,1,0.054004865,-1.0,1.054004865
120973,3,3,0.102138795,-1.0,1.1021387950000001
129173,15,103,0.668607432,-1.040584436,1.709191868
129172,15,103,0.668607432,-1.040584436,1.709191868
129176,2,1,0.054004865,-1.0,1.054004865
88222,2,1,0.054004865,-1.0,1.054004865
123045,2,1,0.054004865,-1.0,1.054004865
129189,5,10,0.439456321,-1.0,1.439456321
137381,3,3,0.102138795,-1.0,1.1021387950000001
129194,7,17,0.371819052,-1.034303881,1.406122933
106666,4,6,0.282164708,-1.0,1.282164708
90284,3,3,0.102138795,-1.0,1.1021387950000001
121010,5,10,0.439456321,-1.0,1.439456321
121012,5,10,0.439456321,-1.0,1.439456321
121015,5,10,0.439456321,-1.0,1.439456321
110774,13,62,1.233314614,-2.564165592E8,2.564165604333146E8
121017,4,5,0.096707935,-4.750874773E8,4.7508747739670795E8
98488,7,21,0.665156882,-1.0,1.665156882
96443,2,1,0.054004865,-1.0,1.054004865
135356,3,3,0.102138795,-1.0,1.1021387950000001
121026,5,10,0.439456321,-1.0,1.439456321
118998,2,1,0.054004865,-1.0,1.054004865
82137,7,21,0.665156882,-1.0,1.665156882
73951,11,48,0.478703917,-0.967229769,1.445933686
121057,5,8,0.222632788,-4.092201806E8,4.092201808226328E8
129251,6,15,0.56610178,-1.0,1.5661017799999999
127202,15,103,0.668607432,-1.040584436,1.709191868
137446,2,1,0.054004865,-1.0,1.054004865
94439,6,15,0.56610178,-1.0,1.5661017799999999
73958,16,114,0.296982369,-1.0,1.296982369
