InsiderID,NodeCount,EdgeCount,outlierscore,LOFScore,TotalOutlierScore
131075,2,1,0.027784397,-1.0,1.027784397
131072,2,1,0.027784397,-1.0,1.027784397
131073,2,1,0.027784397,-1.0,1.027784397
131081,3,3,0.106617911,-1.0,1.106617911
98314,3,3,0.106617911,-1.0,1.106617911
81934,3,3,0.106617911,-1.0,1.106617911
98320,6,15,0.3339168,-1.0,1.3339168
131091,3,3,0.106617911,-1.0,1.106617911
98323,8,28,0.210492607,-1.0,1.210492607
81941,2,1,0.027784397,-1.0,1.027784397
114711,2,1,0.027784397,-1.0,1.027784397
131096,3,3,0.106617911,-1.0,1.106617911
98335,6,15,0.3339168,-1.0,1.3339168
81952,7,20,0.012970104,-1.0,1.012970104
131104,2,1,0.027784397,-1.0,1.027784397
98345,2,1,0.027784397,-1.0,1.027784397
98344,5,10,0.305969234,-1.0,1.305969234
131119,2,1,0.027784397,-1.0,1.027784397
81966,3,3,0.106617911,-1.0,1.106617911
98352,2,1,0.027784397,-1.0,1.027784397
98356,3,3,0.106617911,-1.0,1.106617911
98358,2,1,0.027784397,-1.0,1.027784397
131131,2,1,0.027784397,-1.0,1.027784397
131134,2,1,0.027784397,-1.0,1.027784397
131139,8,28,0.210492607,-1.0,1.210492607
131136,2,1,0.027784397,-1.0,1.027784397
81993,3,3,0.106617911,-1.0,1.106617911
98376,4,6,0.228897041,-1.0,1.228897041
131144,2,1,0.027784397,-1.0,1.027784397
131145,2,1,0.027784397,-1.0,1.027784397
98381,2,1,0.027784397,-1.0,1.027784397
98380,9,36,0.043502616,-1.0,1.043502616
98387,11,55,0.608551102,-1.0,1.6085511019999998
131159,5,10,0.305969234,-1.0,1.305969234
131163,2,1,0.027784397,-1.0,1.027784397
131160,2,1,0.027784397,-1.0,1.027784397
131161,2,1,0.027784397,-1.0,1.027784397
131166,2,1,0.027784397,-1.0,1.027784397
82015,2,1,0.027784397,-1.0,1.027784397
131165,2,1,0.027784397,-1.0,1.027784397
131171,2,1,0.027784397,-1.0,1.027784397
131168,2,1,0.027784397,-1.0,1.027784397
82018,8,27,0.146146488,-1.0,1.146146488
131172,3,3,0.106617911,-1.0,1.106617911
98408,2,1,0.027784397,-1.0,1.027784397
98411,2,1,0.027784397,-1.0,1.027784397
131177,3,3,0.106617911,-1.0,1.106617911
131180,3,3,0.106617911,-1.0,1.106617911
131181,2,1,0.027784397,-1.0,1.027784397
131187,2,1,0.027784397,-1.0,1.027784397
131189,2,1,0.027784397,-1.0,1.027784397
131194,2,1,0.027784397,-1.0,1.027784397
98434,2,1,0.027784397,-1.0,1.027784397
98436,8,28,0.210492607,-1.0,1.210492607
82056,5,10,0.305969234,-1.0,1.305969234
82058,14,91,1.195131005,-1.0,2.195131005
131214,4,6,0.228897041,-1.0,1.228897041
98445,11,55,0.608551102,-1.0,1.6085511019999998
131213,4,6,0.228897041,-1.0,1.228897041
131218,2,1,0.027784397,-1.0,1.027784397
82064,4,3,0.954176493,-4.997549474E8,4.9975494835417646E8
131219,2,1,0.027784397,-1.0,1.027784397
131216,2,1,0.027784397,-1.0,1.027784397
131217,2,1,0.027784397,-1.0,1.027784397
114834,2,1,0.027784397,-1.0,1.027784397
131222,2,1,0.027784397,-1.0,1.027784397
131223,2,1,0.027784397,-1.0,1.027784397
98457,3,3,0.106617911,-1.0,1.106617911
131226,2,1,0.027784397,-1.0,1.027784397
131227,2,1,0.027784397,-1.0,1.027784397
98458,2,1,0.027784397,-1.0,1.027784397
114844,8,28,0.210492607,-1.0,1.210492607
98467,2,1,0.027784397,-1.0,1.027784397
131243,5,10,0.305969234,-1.0,1.305969234
131246,2,1,0.027784397,-1.0,1.027784397
131244,2,1,0.027784397,-1.0,1.027784397
131248,2,1,0.027784397,-1.0,1.027784397
114869,3,3,0.106617911,-1.0,1.106617911
98488,7,20,0.012970104,-1.0,1.012970104
98493,2,1,0.027784397,-1.0,1.027784397
98494,2,1,0.027784397,-1.0,1.027784397
114881,9,36,0.043502616,-1.0,1.043502616
131265,2,1,0.027784397,-1.0,1.027784397
98498,2,1,0.027784397,-1.0,1.027784397
82131,4,6,0.228897041,-1.0,1.228897041
131281,2,1,0.027784397,-1.0,1.027784397
82132,2,1,0.027784397,-1.0,1.027784397
131285,9,36,0.043502616,-1.0,1.043502616
82137,7,21,0.308660199,-1.0,1.308660199
131288,2,1,0.027784397,-1.0,1.027784397
131289,2,1,0.027784397,-1.0,1.027784397
82144,2,1,0.027784397,-1.0,1.027784397
114917,2,1,0.027784397,-1.0,1.027784397
82149,2,1,0.027784397,-1.0,1.027784397
131300,3,3,0.106617911,-1.0,1.106617911
131306,3,3,0.106617911,-1.0,1.106617911
131307,3,3,0.106617911,-1.0,1.106617911
82155,2,1,0.027784397,-1.0,1.027784397
131305,2,1,0.027784397,-1.0,1.027784397
131309,3,3,0.106617911,-1.0,1.106617911
98544,2,1,0.027784397,-1.0,1.027784397
131315,2,1,0.027784397,-1.0,1.027784397
131312,3,3,0.106617911,-1.0,1.106617911
131319,4,6,0.228897041,-1.0,1.228897041
131323,3,3,0.106617911,-1.0,1.106617911
131320,3,3,0.106617911,-1.0,1.106617911
82170,4,5,0.155591768,-1.0,1.155591768
131321,4,6,0.228897041,-1.0,1.228897041
131325,3,3,0.106617911,-1.0,1.106617911
131330,2,1,0.027784397,-1.0,1.027784397
98561,2,1,0.027784397,-1.0,1.027784397
98560,7,21,0.308660199,-1.0,1.308660199
131331,16,120,1.511306442,-1.0,2.511306442
131335,2,1,0.027784397,-1.0,1.027784397
82183,3,3,0.106617911,-1.0,1.106617911
131336,2,1,0.027784397,-1.0,1.027784397
114955,3,3,0.106617911,-1.0,1.106617911
114957,4,6,0.228897041,-1.0,1.228897041
82188,10,45,0.356027644,-1.0,1.356027644
82190,10,45,0.356027644,-1.0,1.356027644
82192,3,3,0.106617911,-1.0,1.106617911
131350,4,6,0.228897041,-1.0,1.228897041
131351,4,6,0.228897041,-1.0,1.228897041
131348,2,1,0.027784397,-1.0,1.027784397
82198,2,1,0.027784397,-1.0,1.027784397
131354,4,6,0.228897041,-1.0,1.228897041
131355,4,6,0.228897041,-1.0,1.228897041
131352,4,6,0.228897041,-1.0,1.228897041
82203,3,3,0.106617911,-1.0,1.106617911
82205,2,1,0.027784397,-1.0,1.027784397
82204,2,1,0.027784397,-1.0,1.027784397
82207,10,45,0.356027644,-1.0,1.356027644
131357,2,1,0.027784397,-1.0,1.027784397
98595,4,6,0.228897041,-1.0,1.228897041
82210,10,45,0.356027644,-1.0,1.356027644
98601,5,10,0.305969234,-1.0,1.305969234
131379,2,1,0.027784397,-1.0,1.027784397
131382,2,1,0.027784397,-1.0,1.027784397
98614,4,6,0.228897041,-1.0,1.228897041
82235,9,36,0.043502616,-1.0,1.043502616
115005,2,1,0.027784397,-1.0,1.027784397
82237,5,10,0.305969234,-1.0,1.305969234
131395,2,1,0.027784397,-1.0,1.027784397
131393,11,55,0.608551102,-1.0,1.6085511019999998
115010,2,1,0.027784397,-1.0,1.027784397
131398,11,55,0.608551102,-1.0,1.6085511019999998
82244,2,1,0.027784397,-1.0,1.027784397
98631,2,1,0.027784397,-1.0,1.027784397
82253,4,6,0.228897041,-1.0,1.228897041
131405,2,1,0.027784397,-1.0,1.027784397
131408,5,7,0.639083189,-1.0,1.639083189
82259,6,15,0.3339168,-1.0,1.3339168
98647,4,6,0.228897041,-1.0,1.228897041
82263,3,3,0.106617911,-1.0,1.106617911
131413,2,1,0.027784397,-1.0,1.027784397
98648,3,3,0.106617911,-1.0,1.106617911
82264,3,3,0.106617911,-1.0,1.106617911
115034,4,6,0.228897041,-1.0,1.228897041
131423,2,1,0.027784397,-1.0,1.027784397
131421,3,3,0.106617911,-1.0,1.106617911
131424,2,1,0.027784397,-1.0,1.027784397
82280,2,1,0.027784397,-1.0,1.027784397
131432,5,10,0.305969234,-1.0,1.305969234
131433,11,55,0.608551102,-1.0,1.6085511019999998
82282,2,1,0.027784397,-1.0,1.027784397
131439,6,9,1.201530658,-1.063269228,2.264799886
98671,10,45,0.356027644,-1.0,1.356027644
115055,2,1,0.027784397,-1.0,1.027784397
82286,2,1,0.027784397,-1.0,1.027784397
115056,13,78,1.018896653,-1.0,2.018896653
131440,2,1,0.027784397,-1.0,1.027784397
131444,11,55,0.608551102,-1.0,1.6085511019999998
131450,3,3,0.106617911,-1.0,1.106617911
98683,5,8,0.366866186,-1.0,1.366866186
131448,2,1,0.027784397,-1.0,1.027784397
131454,2,1,0.027784397,-1.0,1.027784397
131455,5,10,0.305969234,-1.0,1.305969234
131452,2,1,0.027784397,-1.0,1.027784397
131453,5,10,0.305969234,-1.0,1.305969234
131456,4,6,0.228897041,-1.0,1.228897041
98691,2,1,0.027784397,-1.0,1.027784397
82309,2,1,0.027784397,-1.0,1.027784397
131467,3,3,0.106617911,-1.0,1.106617911
98699,13,78,1.018896653,-1.0,2.018896653
131464,2,1,0.027784397,-1.0,1.027784397
98698,16,120,1.511306442,-1.0,2.511306442
82321,6,15,0.3339168,-1.0,1.3339168
131472,2,1,0.027784397,-1.0,1.027784397
131479,7,20,0.012970104,-1.0,1.012970104
131477,4,6,0.228897041,-1.0,1.228897041
131482,11,55,0.608551102,-1.0,1.6085511019999998
98713,5,10,0.305969234,-1.0,1.305969234
131483,11,55,0.608551102,-1.0,1.6085511019999998
131480,5,10,0.305969234,-1.0,1.305969234
131486,7,19,0.324230506,-1.0,1.324230506
131487,7,19,0.324230506,-1.0,1.324230506
98719,2,1,0.027784397,-1.0,1.027784397
131484,7,19,0.324230506,-1.0,1.324230506
131491,11,55,0.608551102,-1.0,1.6085511019999998
131494,7,20,0.012970104,-1.0,1.012970104
131495,7,20,0.012970104,-1.0,1.012970104
115113,3,3,0.106617911,-1.0,1.106617911
131496,2,1,0.027784397,-1.0,1.027784397
131497,2,1,0.027784397,-1.0,1.027784397
131500,2,1,0.027784397,-1.0,1.027784397
131501,5,10,0.305969234,-1.0,1.305969234
131510,7,19,0.324230506,-1.0,1.324230506
131509,2,1,0.027784397,-1.0,1.027784397
131513,2,1,0.027784397,-1.0,1.027784397
98754,2,1,0.027784397,-1.0,1.027784397
82370,3,3,0.106617911,-1.0,1.106617911
82373,2,1,0.027784397,-1.0,1.027784397
82377,3,3,0.106617911,-1.0,1.106617911
131531,3,3,0.106617911,-1.0,1.106617911
131534,3,3,0.106617911,-1.0,1.106617911
131535,5,10,0.305969234,-1.0,1.305969234
