,InsiderID,NodeCount,EdgeCount,outlierscore,LOFScore
1,73728,2,1,0.013247896,-1
2,98307,2,1,0.013247896,-1
3,90114,2,1,0.013247896,-1
4,81927,2,1,0.013247896,-1
5,81929,3,2,0.270895239,-1
6,90120,2,1,0.013247896,-1
7,98312,2,1,0.013247896,-1
8,106512,5,10,0.484627311,-1
9,98333,2,1,0.013247896,-1
10,90144,5,10,0.484627311,-1
11,73767,4,4,0.39540302,-1
12,90162,4,6,0.342847337,-1
13,98354,2,1,0.013247896,-1
14,90164,2,1,0.013247896,-1
15,98356,2,1,0.013247896,-1
16,73784,2,1,0.013247896,-1
17,114747,2,1,0.013247896,-1
18,73788,2,1,0.013247896,-1
19,114751,4,6,0.342847337,-1
20,114750,4,6,0.342847337,-1
21,114752,4,6,0.342847337,-1
22,73794,2,1,0.013247896,-1
23,81989,2,1,0.013247896,-1
24,73801,5,10,0.484627311,-1
25,90187,3,3,0.163469871,-1
26,73804,5,10,0.484627311,-1
27,73815,11,47,0.814033009,-1
28,73819,2,1,0.013247896,-1
29,73820,2,1,0.013247896,-1
30,98401,6,14,0.369648741,-1
31,106595,2,1,0.013247896,-1
32,106597,2,1,0.013247896,-1
33,106596,2,1,0.013247896,-1
34,114788,2,1,0.013247896,-1
35,73831,3,3,0.163469871,-1
36,106598,2,1,0.013247896,-1
37,73830,2,1,0.013247896,-1
38,98408,3,3,0.163469871,-1
39,73832,4,4,0.39540302,-1
40,73835,2,1,0.013247896,-1
41,73834,3,3,0.163469871,-1
42,90218,2,1,0.013247896,-1
43,98410,2,1,0.013247896,-1
44,82028,2,1,0.013247896,-1
45,98419,2,1,0.013247896,-1
46,73842,3,3,0.163469871,-1
47,98418,2,1,0.013247896,-1
48,73845,9,15,2.74694691,-1.132153367
49,98423,4,6,0.342847337,-1
50,98427,4,6,0.342847337,-1
51,82043,13,61,1.478912164,-1
52,106620,2,1,0.013247896,-1
53,82044,9,36,0.722213721,-1
54,98434,2,1,0.013247896,-1
55,98437,2,1,0.013247896,-1
56,73865,7,21,0.658629463,-1
57,114825,2,1,0.013247896,-1
58,82058,5,10,0.484627311,-1
59,90257,2,1,0.013247896,-1
60,82068,2,1,0.013247896,-1
61,82071,3,3,0.163469871,-1
62,82070,2,1,0.013247896,-1
63,98461,2,1,0.013247896,-1
64,73884,6,14,0.369648741,-1
65,82081,2,1,0.013247896,-1
66,73893,3,3,0.163469871,-1
67,73892,4,6,0.342847337,-1
68,82095,2,1,0.013247896,-1
69,82101,2,1,0.013247896,-1
70,90295,4,4,0.39540302,-1
71,73910,5,7,0.466108507,-1
72,90294,2,1,0.013247896,-1
73,73913,4,4,0.39540302,-1
74,82107,4,6,0.342847337,-1
75,106683,2,1,0.013247896,-1
76,90299,2,1,0.013247896,-1
77,90300,2,1,0.013247896,-1
78,82108,4,5,0.023614358,-1
79,82111,7,18,0.102247889,-1
80,90302,2,1,0.013247896,-1
81,82112,4,6,0.342847337,-1
82,73920,4,6,0.342847337,-1
83,82117,4,6,0.342847337,-1
84,82119,3,3,0.163469871,-1
