InsiderID,NodeCount,EdgeCount,outlierscore,LOFScore,TotalOutlierScore
73728,2,1,0.013247896,-1.0,1.013247896
98307,2,1,0.013247896,-1.0,1.013247896
90114,2,1,0.013247896,-1.0,1.013247896
81927,2,1,0.013247896,-1.0,1.013247896
81929,3,2,0.270895239,-1.0,1.2708952390000001
90120,2,1,0.013247896,-1.0,1.013247896
98312,2,1,0.013247896,-1.0,1.013247896
106512,5,10,0.484627311,-1.0,1.4846273110000001
98333,2,1,0.013247896,-1.0,1.013247896
90144,5,10,0.484627311,-1.0,1.4846273110000001
73767,4,4,0.39540302,-1.0,1.39540302
90162,4,6,0.342847337,-1.0,1.342847337
98354,2,1,0.013247896,-1.0,1.013247896
90164,2,1,0.013247896,-1.0,1.013247896
98356,2,1,0.013247896,-1.0,1.013247896
73784,2,1,0.013247896,-1.0,1.013247896
114747,2,1,0.013247896,-1.0,1.013247896
73788,2,1,0.013247896,-1.0,1.013247896
114751,4,6,0.342847337,-1.0,1.342847337
114750,4,6,0.342847337,-1.0,1.342847337
114752,4,6,0.342847337,-1.0,1.342847337
73794,2,1,0.013247896,-1.0,1.013247896
81989,2,1,0.013247896,-1.0,1.013247896
73801,5,10,0.484627311,-1.0,1.4846273110000001
90187,3,3,0.163469871,-1.0,1.163469871
73804,5,10,0.484627311,-1.0,1.4846273110000001
73815,11,47,0.814033009,-1.0,1.814033009
73819,2,1,0.013247896,-1.0,1.013247896
73820,2,1,0.013247896,-1.0,1.013247896
98401,6,14,0.369648741,-1.0,1.369648741
106595,2,1,0.013247896,-1.0,1.013247896
106597,2,1,0.013247896,-1.0,1.013247896
106596,2,1,0.013247896,-1.0,1.013247896
114788,2,1,0.013247896,-1.0,1.013247896
73831,3,3,0.163469871,-1.0,1.163469871
106598,2,1,0.013247896,-1.0,1.013247896
73830,2,1,0.013247896,-1.0,1.013247896
98408,3,3,0.163469871,-1.0,1.163469871
73832,4,4,0.39540302,-1.0,1.39540302
73835,2,1,0.013247896,-1.0,1.013247896
73834,3,3,0.163469871,-1.0,1.163469871
90218,2,1,0.013247896,-1.0,1.013247896
98410,2,1,0.013247896,-1.0,1.013247896
82028,2,1,0.013247896,-1.0,1.013247896
98419,2,1,0.013247896,-1.0,1.013247896
73842,3,3,0.163469871,-1.0,1.163469871
98418,2,1,0.013247896,-1.0,1.013247896
73845,9,15,2.74694691,-1.132153367,3.879100277
98423,4,6,0.342847337,-1.0,1.342847337
98427,4,6,0.342847337,-1.0,1.342847337
82043,13,61,1.478912164,-1.0,2.478912164
106620,2,1,0.013247896,-1.0,1.013247896
82044,9,36,0.722213721,-1.0,1.7222137210000001
98434,2,1,0.013247896,-1.0,1.013247896
98437,2,1,0.013247896,-1.0,1.013247896
73865,7,21,0.658629463,-1.0,1.658629463
114825,2,1,0.013247896,-1.0,1.013247896
82058,5,10,0.484627311,-1.0,1.4846273110000001
90257,2,1,0.013247896,-1.0,1.013247896
82068,2,1,0.013247896,-1.0,1.013247896
82071,3,3,0.163469871,-1.0,1.163469871
82070,2,1,0.013247896,-1.0,1.013247896
98461,2,1,0.013247896,-1.0,1.013247896
73884,6,14,0.369648741,-1.0,1.369648741
82081,2,1,0.013247896,-1.0,1.013247896
73893,3,3,0.163469871,-1.0,1.163469871
73892,4,6,0.342847337,-1.0,1.342847337
82095,2,1,0.013247896,-1.0,1.013247896
82101,2,1,0.013247896,-1.0,1.013247896
90295,4,4,0.39540302,-1.0,1.39540302
73910,5,7,0.466108507,-1.0,1.466108507
90294,2,1,0.013247896,-1.0,1.013247896
73913,4,4,0.39540302,-1.0,1.39540302
82107,4,6,0.342847337,-1.0,1.342847337
106683,2,1,0.013247896,-1.0,1.013247896
90299,2,1,0.013247896,-1.0,1.013247896
90300,2,1,0.013247896,-1.0,1.013247896
82108,4,5,0.023614358,-1.0,1.023614358
82111,7,18,0.102247889,-1.0,1.102247889
90302,2,1,0.013247896,-1.0,1.013247896
82112,4,6,0.342847337,-1.0,1.342847337
73920,4,6,0.342847337,-1.0,1.342847337
82117,4,6,0.342847337,-1.0,1.342847337
82119,3,3,0.163469871,-1.0,1.163469871
90311,5,10,0.484627311,-1.0,1.4846273110000001
90310,2,1,0.013247896,-1.0,1.013247896
73926,3,2,0.270895239,-1.0,1.2708952390000001
73932,2,1,0.013247896,-1.0,1.013247896
82127,2,1,0.013247896,-1.0,1.013247896
73937,10,41,0.148704659,-0.939754857,1.0884595160000001
98519,3,2,0.270895239,-1.0,1.2708952390000001
98518,2,1,0.013247896,-1.0,1.013247896
98521,9,36,0.722213721,-1.0,1.7222137210000001
82136,2,1,0.013247896,-1.0,1.013247896
82138,2,1,0.013247896,-1.0,1.013247896
73948,3,2,0.270895239,-1.0,1.2708952390000001
82140,2,1,0.013247896,-1.0,1.013247896
98526,2,1,0.013247896,-1.0,1.013247896
73959,8,20,0.94794229,-1.029279636,1.977221926
73961,9,23,1.444054811,-1.005576868,2.449631679
73962,5,10,0.484627311,-1.0,1.4846273110000001
90348,3,3,0.163469871,-1.0,1.163469871
73964,9,23,1.444054811,-1.005576868,2.449631679
73971,7,21,0.658629463,-1.0,1.658629463
98547,5,10,0.484627311,-1.0,1.4846273110000001
82164,7,13,1.11907167,-1.044483732,2.163555402
114935,3,3,0.163469871,-1.0,1.163469871
106744,2,1,0.013247896,-1.0,1.013247896
73979,2,1,0.013247896,-1.0,1.013247896
73981,6,15,0.587896186,-1.0,1.587896186
73984,5,7,0.466108507,-1.0,1.466108507
98562,2,1,0.013247896,-1.0,1.013247896
73991,2,1,0.013247896,-1.0,1.013247896
73993,2,1,0.013247896,-1.0,1.013247896
90379,9,36,0.722213721,-1.0,1.7222137210000001
90381,2,1,0.013247896,-1.0,1.013247896
82191,3,3,0.163469871,-1.0,1.163469871
82192,4,6,0.342847337,-1.0,1.342847337
82197,3,3,0.163469871,-1.0,1.163469871
74015,2,1,0.013247896,-1.0,1.013247896
90398,2,1,0.013247896,-1.0,1.013247896
74018,4,6,0.342847337,-1.0,1.342847337
