InsiderID,NodeCount,EdgeCount,outlierscore,LOFScore,TotalOutlierScore
73729,7,15,1.023395986,-2.189758852,3.2131548380000003
81920,2,1,0.02255557,-1.0,1.02255557
106499,9,36,0.036847997,-1.0,1.036847997
106498,9,36,0.036847997,-1.0,1.036847997
106501,9,36,0.036847997,-1.0,1.036847997
106502,9,36,0.036847997,-1.0,1.036847997
106505,9,36,0.036847997,-1.0,1.036847997
106507,9,36,0.036847997,-1.0,1.036847997
106506,9,36,0.036847997,-1.0,1.036847997
73741,3,3,0.117283657,-1.0,1.117283657
114703,2,1,0.02255557,-1.0,1.02255557
73743,3,3,0.117283657,-1.0,1.117283657
106510,7,21,0.338873066,-1.0,1.3388730660000001
114705,2,1,0.02255557,-1.0,1.02255557
81937,9,36,0.036847997,-1.0,1.036847997
106513,7,21,0.338873066,-1.0,1.3388730660000001
106512,6,13,0.287371965,-6.436936774E7,6.4369368027371965E7
106515,7,21,0.338873066,-1.0,1.3388730660000001
114707,2,1,0.02255557,-1.0,1.02255557
106514,7,21,0.338873066,-1.0,1.3388730660000001
114706,2,1,0.02255557,-1.0,1.02255557
81941,9,36,0.036847997,-1.0,1.036847997
114709,2,1,0.02255557,-1.0,1.02255557
106517,7,21,0.338873066,-1.0,1.3388730660000001
106516,7,21,0.338873066,-1.0,1.3388730660000001
98327,8,28,0.253671637,-1.0,1.253671637
114710,2,1,0.02255557,-1.0,1.02255557
98328,2,1,0.02255557,-1.0,1.02255557
106523,2,1,0.02255557,-1.0,1.02255557
90139,2,1,0.02255557,-1.0,1.02255557
98330,8,28,0.253671637,-1.0,1.253671637
98333,2,1,0.02255557,-1.0,1.02255557
98335,8,28,0.253671637,-1.0,1.253671637
73758,3,3,0.117283657,-1.0,1.117283657
98336,8,28,0.253671637,-1.0,1.253671637
98339,8,28,0.253671637,-1.0,1.253671637
98338,8,28,0.253671637,-1.0,1.253671637
98341,8,28,0.253671637,-1.0,1.253671637
73765,2,1,0.02255557,-1.0,1.02255557
114731,2,1,0.02255557,-1.0,1.02255557
90157,2,1,0.02255557,-1.0,1.02255557
73775,2,1,0.02255557,-1.0,1.02255557
114734,4,3,0.936049148,-1.0,1.936049148
98367,2,1,0.02255557,-1.0,1.02255557
114751,4,6,0.244142754,-1.0,1.244142754
98366,3,3,0.117283657,-1.0,1.117283657
114750,4,6,0.244142754,-1.0,1.244142754
114752,4,6,0.244142754,-1.0,1.244142754
98371,2,1,0.02255557,-1.0,1.02255557
114755,2,1,0.02255557,-1.0,1.02255557
114754,2,1,0.02255557,-1.0,1.02255557
81989,2,1,0.02255557,-1.0,1.02255557
106564,6,15,0.357563629,-1.0,1.357563629
81993,2,1,0.02255557,-1.0,1.02255557
81995,4,6,0.244142754,-1.0,1.244142754
90187,2,1,0.02255557,-1.0,1.02255557
81994,2,1,0.02255557,-1.0,1.02255557
106573,2,1,0.02255557,-1.0,1.02255557
81996,4,6,0.244142754,-1.0,1.244142754
73804,2,1,0.02255557,-1.0,1.02255557
106574,2,1,0.02255557,-1.0,1.02255557
98385,2,1,0.02255557,-1.0,1.02255557
73809,2,1,0.02255557,-1.0,1.02255557
98389,2,1,0.02255557,-1.0,1.02255557
73814,2,1,0.02255557,-1.0,1.02255557
73819,2,1,0.02255557,-1.0,1.02255557
73820,2,1,0.02255557,-1.0,1.02255557
98401,4,6,0.244142754,-1.0,1.244142754
106595,2,1,0.02255557,-1.0,1.02255557
106597,2,1,0.02255557,-1.0,1.02255557
106596,2,1,0.02255557,-1.0,1.02255557
106598,2,1,0.02255557,-1.0,1.02255557
73830,4,3,0.936049148,-1.0,1.936049148
73832,2,1,0.02255557,-1.0,1.02255557
73834,2,1,0.02255557,-1.0,1.02255557
82029,2,1,0.02255557,-1.0,1.02255557
90221,4,6,0.244142754,-1.0,1.244142754
82028,2,1,0.02255557,-1.0,1.02255557
90224,2,1,0.02255557,-1.0,1.02255557
98419,2,1,0.02255557,-1.0,1.02255557
90226,2,1,0.02255557,-1.0,1.02255557
98418,2,1,0.02255557,-1.0,1.02255557
98420,4,6,0.244142754,-1.0,1.244142754
114804,3,2,0.32138168,-1.0,1.32138168
98423,3,3,0.117283657,-1.0,1.117283657
98426,2,1,0.02255557,-1.0,1.02255557
106620,2,1,0.02255557,-1.0,1.02255557
98431,2,1,0.02255557,-1.0,1.02255557
82046,11,55,0.572481118,-1.0,1.572481118
82049,11,55,0.572481118,-1.0,1.572481118
82048,2,1,0.02255557,-1.0,1.02255557
82050,3,2,0.32138168,-1.0,1.32138168
98434,2,1,0.02255557,-1.0,1.02255557
98437,2,1,0.02255557,-1.0,1.02255557
73863,3,3,0.117283657,-1.0,1.117283657
114823,2,1,0.02255557,-1.0,1.02255557
114822,2,1,0.02255557,-1.0,1.02255557
114825,2,1,0.02255557,-1.0,1.02255557
82056,4,6,0.244142754,-1.0,1.244142754
82058,4,6,0.244142754,-1.0,1.244142754
82061,2,1,0.02255557,-1.0,1.02255557
82065,4,6,0.244142754,-1.0,1.244142754
90257,2,1,0.02255557,-1.0,1.02255557
98462,6,15,0.357563629,-1.0,1.357563629
82081,2,1,0.02255557,-1.0,1.02255557
98475,2,1,0.02255557,-1.0,1.02255557
98476,2,1,0.02255557,-1.0,1.02255557
82095,2,1,0.02255557,-1.0,1.02255557
106670,3,3,0.117283657,-1.0,1.117283657
114862,2,1,0.02255557,-1.0,1.02255557
106673,3,3,0.117283657,-1.0,1.117283657
82097,4,6,0.244142754,-1.0,1.244142754
106672,3,3,0.117283657,-1.0,1.117283657
82098,12,66,0.797138539,-1.0,1.797138539
114873,2,1,0.02255557,-1.0,1.02255557
114872,2,1,0.02255557,-1.0,1.02255557
90299,2,1,0.02255557,-1.0,1.02255557
114874,2,1,0.02255557,-1.0,1.02255557
98493,6,15,0.357563629,-1.0,1.357563629
114877,2,1,0.02255557,-1.0,1.02255557
90300,2,1,0.02255557,-1.0,1.02255557
114876,2,1,0.02255557,-1.0,1.02255557
114879,2,1,0.02255557,-1.0,1.02255557
98494,6,15,0.357563629,-1.0,1.357563629
82112,2,1,0.02255557,-1.0,1.02255557
73923,3,3,0.117283657,-1.0,1.117283657
98498,6,15,0.357563629,-1.0,1.357563629
73924,3,3,0.117283657,-1.0,1.117283657
82118,3,3,0.117283657,-1.0,1.117283657
90310,2,1,0.02255557,-1.0,1.02255557
98505,6,15,0.357563629,-1.0,1.357563629
73929,3,3,0.117283657,-1.0,1.117283657
106699,6,15,0.357563629,-1.0,1.357563629
114893,4,6,0.244142754,-1.0,1.244142754
106701,6,15,0.357563629,-1.0,1.357563629
106700,6,15,0.357563629,-1.0,1.357563629
114895,4,6,0.244142754,-1.0,1.244142754
106702,6,15,0.357563629,-1.0,1.357563629
114897,4,6,0.244142754,-1.0,1.244142754
106707,6,15,0.357563629,-1.0,1.357563629
106709,6,15,0.357563629,-1.0,1.357563629
73940,2,1,0.02255557,-1.0,1.02255557
82132,2,1,0.02255557,-1.0,1.02255557
106708,2,1,0.02255557,-1.0,1.02255557
98519,2,1,0.02255557,-1.0,1.02255557
106710,6,15,0.357563629,-1.0,1.357563629
106713,6,15,0.357563629,-1.0,1.357563629
98521,2,1,0.02255557,-1.0,1.02255557
106712,6,15,0.357563629,-1.0,1.357563629
82136,2,1,0.02255557,-1.0,1.02255557
73947,2,1,0.02255557,-1.0,1.02255557
106714,2,1,0.02255557,-1.0,1.02255557
82140,2,1,0.02255557,-1.0,1.02255557
106716,3,3,0.117283657,-1.0,1.117283657
82144,2,1,0.02255557,-1.0,1.02255557
82147,2,1,0.02255557,-1.0,1.02255557
114915,5,10,0.325174566,-1.0,1.325174566
106722,6,15,0.357563629,-1.0,1.357563629
114917,5,10,0.325174566,-1.0,1.325174566
82149,2,1,0.02255557,-1.0,1.02255557
114916,5,10,0.325174566,-1.0,1.325174566
82152,3,3,0.117283657,-1.0,1.117283657
82158,2,1,0.02255557,-1.0,1.02255557
73971,7,21,0.338873066,-1.0,1.3388730660000001
106739,2,1,0.02255557,-1.0,1.02255557
82179,2,1,0.02255557,-1.0,1.02255557
82178,2,1,0.02255557,-1.0,1.02255557
114955,3,3,0.117283657,-1.0,1.117283657
106763,3,3,0.117283657,-1.0,1.117283657
90381,2,1,0.02255557,-1.0,1.02255557
98573,4,6,0.244142754,-1.0,1.244142754
114956,3,3,0.117283657,-1.0,1.117283657
82188,13,78,0.995155897,-1.0,1.995155897
82190,13,78,0.995155897,-1.0,1.995155897
82192,2,1,0.02255557,-1.0,1.02255557
90389,4,6,0.244142754,-1.0,1.244142754
74007,2,1,0.02255557,-1.0,1.02255557
90390,4,6,0.244142754,-1.0,1.244142754
82205,13,78,0.995155897,-1.0,1.995155897
98589,4,6,0.244142754,-1.0,1.244142754
82204,13,78,0.995155897,-1.0,1.995155897
98588,4,6,0.244142754,-1.0,1.244142754
82207,13,78,0.995155897,-1.0,1.995155897
74015,2,1,0.02255557,-1.0,1.02255557
98590,4,6,0.244142754,-1.0,1.244142754
90398,3,3,0.117283657,-1.0,1.117283657
90403,8,28,0.253671637,-1.0,1.253671637
82210,13,78,0.995155897,-1.0,1.995155897
90404,3,3,0.117283657,-1.0,1.117283657
114985,17,136,1.640772699,-1.0,2.6407726990000002
82216,3,3,0.117283657,-1.0,1.117283657
114984,17,136,1.640772699,-1.0,2.6407726990000002
90411,8,28,0.253671637,-1.0,1.253671637
114987,2,1,0.02255557,-1.0,1.02255557
90410,8,28,0.253671637,-1.0,1.253671637
114986,17,136,1.640772699,-1.0,2.6407726990000002
74029,2,1,0.02255557,-1.0,1.02255557
90413,8,28,0.253671637,-1.0,1.253671637
90412,8,28,0.253671637,-1.0,1.253671637
114988,17,136,1.640772699,-1.0,2.6407726990000002
90415,8,28,0.253671637,-1.0,1.253671637
74030,2,1,0.02255557,-1.0,1.02255557
90414,8,28,0.253671637,-1.0,1.253671637
90417,4,6,0.244142754,-1.0,1.244142754
90416,8,28,0.253671637,-1.0,1.253671637
114992,2,1,0.02255557,-1.0,1.02255557
90419,2,1,0.02255557,-1.0,1.02255557
114995,17,136,1.640772699,-1.0,2.6407726990000002
82226,3,3,0.117283657,-1.0,1.117283657
90421,2,1,0.02255557,-1.0,1.02255557
114997,17,136,1.640772699,-1.0,2.6407726990000002
114998,17,136,1.640772699,-1.0,2.6407726990000002
82235,5,10,0.325174566,-1.0,1.325174566
98618,3,3,0.117283657,-1.0,1.117283657
90426,4,6,0.244142754,-1.0,1.244142754
115002,17,136,1.640772699,-1.0,2.6407726990000002
115005,17,136,1.640772699,-1.0,2.6407726990000002
82236,3,3,0.117283657,-1.0,1.117283657
115004,17,136,1.640772699,-1.0,2.6407726990000002
90431,3,3,0.117283657,-1.0,1.117283657
115007,17,136,1.640772699,-1.0,2.6407726990000002
98622,2,1,0.02255557,-1.0,1.02255557
115006,17,136,1.640772699,-1.0,2.6407726990000002
115009,17,136,1.640772699,-1.0,2.6407726990000002
90432,3,3,0.117283657,-1.0,1.117283657
115008,17,136,1.640772699,-1.0,2.6407726990000002
82243,3,3,0.117283657,-1.0,1.117283657
98626,4,6,0.244142754,-1.0,1.244142754
115010,17,136,1.640772699,-1.0,2.6407726990000002
90439,13,78,0.995155897,-1.0,1.995155897
106822,4,6,0.244142754,-1.0,1.244142754
115017,2,1,0.02255557,-1.0,1.02255557
115016,2,1,0.02255557,-1.0,1.02255557
90440,13,78,0.995155897,-1.0,1.995155897
90442,13,78,0.995155897,-1.0,1.995155897
98634,2,1,0.02255557,-1.0,1.02255557
98636,2,1,0.02255557,-1.0,1.02255557
